judul,link,source,kategori,waktu,scraped_at
"Heboh Lift Kaca di Pantai Kelingking, DPRD Bali Minta Klarifikasi Bupati",https://travel.detik.com/travel-news/d-8184153/heboh-lift-kaca-di-pantai-kelingking-dprd-bali-minta-klarifikasi-bupati,Detik Travel,Travel,2025-10-29 16:40:00,2025-10-29 17:06:55
Info Loker! Kebun Binatang Ini Cari SopirFeeding AnimalBergaji Rp 116 Juta,https://travel.detik.com/travel-news/d-8184078/info-loker-kebun-binatang-ini-cari-sopir-i-feeding-animal-i-bergaji-rp-116-juta,Detik Travel,Travel,2025-10-29 16:10:00,2025-10-29 17:06:57
Nasib Buruk Ratusan Wisatawan dari Cianjur Terlunta-lunta di Pangandaran,https://travel.detik.com/travel-news/d-8184074/nasib-buruk-ratusan-wisatawan-dari-cianjur-terlunta-lunta-di-pangandaran,Detik Travel,Travel,2025-10-29 15:40:00,2025-10-29 17:06:58
"Melihat Pameran Relikui Santo Carlo Acutis, Orang Suci dari Generasi Milenial",https://travel.detik.com/cerita-perjalanan/d-8184017/melihat-pameran-relikui-santo-carlo-acutis-orang-suci-dari-generasi-milenial,Detik Travel,Travel,2025-10-29 15:20:00,2025-10-29 17:07:00
Misteri Hotel Mewah Thailand yang Berubah Jadi Kapal Hantu,https://travel.detik.com/fototravel/d-8183594/misteri-hotel-mewah-thailand-yang-berubah-jadi-kapal-hantu,Detik Travel,Travel,2025-10-29 15:00:00,2025-10-29 17:07:01
"Ketinggalan Rombongan Kapal Pesiar, Turis Tewas di Pulau Lizard",https://travel.detik.com/travel-news/d-8184042/ketinggalan-rombongan-kapal-pesiar-turis-tewas-di-pulau-lizard,Detik Travel,Travel,2025-10-29 14:34:00,2025-10-29 17:07:03
"Pembangunan Lift di Tebing Ikonik Pantai Kelingking Tuai Polemik, Ternyata Berizin",https://travel.detik.com/travel-news/d-8183961/pembangunan-lift-di-tebing-ikonik-pantai-kelingking-tuai-polemik-ternyata-berizin,Detik Travel,Travel,2025-10-29 14:07:00,2025-10-29 17:07:05
"Kepiting Kuasai Jalanan untuk Migrasi, yang Lain Dilarang Lewat",https://travel.detik.com/travel-news/d-8183922/kepiting-kuasai-jalanan-untuk-migrasi-yang-lain-dilarang-lewat,Detik Travel,Travel,2025-10-29 13:49:00,2025-10-29 17:07:07
"Penumpang Ngaku Digigit Kutu Busuk di Pesawat, Maskapai Menepis",https://travel.detik.com/travel-news/d-8183805/penumpang-ngaku-digigit-kutu-busuk-di-pesawat-maskapai-menepis,Detik Travel,Travel,2025-10-29 13:03:00,2025-10-29 17:07:08
"Turis AS Jatuh di Pantai Atuh, Cedera Parah",https://travel.detik.com/travel-news/d-8184012/turis-as-jatuh-di-pantai-atuh-cedera-parah,Detik Travel,Travel,2025-10-29 12:31:00,2025-10-29 17:07:10
